Correlation: 0.13353297631000666, P-value: 0.0031523645579715257

MAE: 0.08429215021229156, MSE: 0.01133288816531259

                                                                                            name  value_for_money
                                     Martinique New York On Broadway, Curio Collection By Hilton         0.026380
                                                                               The Marlton Hotel         0.031660
                                                  11 Howard, New York, A Member Of Design Hotels         0.038356
                                                                                  Arthouse Hotel         0.027723
                                                                                Sofitel New York         0.029577
                                                        New York Marriott At The Brooklyn Bridge         0.034310
                                                      Ac Hotel By Marriott New York Times Square         0.041624
                                                                                   Americana Inn         0.129231
                                                        Thompson Central Park New York, By Hyatt         0.016206
                                                                     The Frederick Hotel Tribeca         0.033871
                                                                       W New York - Times Square         0.035897
                                                                         Hyatt Place Nyc Chelsea         0.033884
                                                                          The Puli Hotel And Spa         0.031939
                                                                     Pudong Shangri-La, Shanghai         0.046667
                                                                            Grand Hyatt Shanghai         0.051534
                                                               The Portman Ritz-Carlton Shanghai         0.058741
                                                           Shanghai Marriott Marquis City Centre         0.058333
                                                             Shanghai Marriott Hotel Pudong East         0.065152
                                                                               Hyatt On The Bund         0.057343
                                                                Fairmont Peace Hotel On The Bund         0.031970
                                                                             Park Hyatt Shanghai         0.027632
                                                                          The Peninsula Shanghai         0.022520
                                                               The Ritz-Carlton Shanghai, Pudong         0.028571
                                                                The Westin Bund Center, Shanghai         0.051572
                                                                                 Conrad Shanghai         0.049398
                                                              Mandarin Oriental Pudong, Shanghai         0.039423
                                       Andaz Xintiandi Shanghai-Free Minibar & Lounge Happy Hour         0.049123
                                                                         Pullman Shanghai Skyway         0.061654
                                                                    Kerry Hotel Pudong, Shanghai         0.065600
                                                            Renaissance Shanghai Yu Garden Hotel         0.073684
                                                         Jw Marriott Shanghai At Tomorrow Square         0.046409
                                                          Courtyard By Marriott Shanghai Central         0.066129
                                                                Shanghai Marriott Hotel Hongqiao         0.066129
                      Ramada Plaza Shanghai Pudong Airport - A Journey Starts At The Pvg Airport         0.072414
                                                           Radisson Blu Hotel Shanghai New World         0.068293
                                                                        Hilton Shanghai Hongqiao         0.084536
                                                                The Langham, Shanghai, Xintiandi         0.048555
                                                                       Hotel Equatorial Shanghai         0.110526
                                                               Renaissance Shanghai Pudong Hotel         0.078899
                                                                  Grand Kempinski Hotel Shanghai         0.050588
                                                             Crowne Plaza Shanghai, An Ihg Hotel         0.083333
                                                     Radisson Collection Hotel, Yangtze Shanghai         0.096552
                                                                          Bulgari Hotel Shanghai         0.013465
                                                           Courtyard By Marriott Shanghai Pudong         0.059854
                                                    Shanghai Bund South China Harbour View Hotel         0.070796
                                                                            Jin Jiang Park Hotel         0.098734
Regent Shanghai Pudong - Complimentary First Round Minibar Per Stay - Including A Bottle Of Wine         0.055484
                                                  Intercontinental Shanghai Pudong, An Ihg Hotel         0.083495
                                                                        Hongqiao Jin Jiang Hotel         0.092308
                                                        Caption By Hyatt Zhongshan Park Shanghai         0.073504
                                                       Jw Marriott Hotel Shanghai Changfeng Park         0.040201
                                                                    Grand Central Hotel Shanghai         0.071795
                                                       Renaissance Shanghai Zhongshan Park Hotel         0.044565
                                                Intercontinental Shanghai Jing' An, An Ihg Hotel         0.058108
                                                                Wyndham Shanghai Bund East Hotel         0.042932
                                                                                The Middle House         0.034599
                                                                        The Bund Riverside Hotel         0.106494
                                                             Radisson Collection Hyland Shanghai         0.059574
                                                            Waldorf Astoria Shanghai On The Bund         0.026415
                                                                                 Jin Jiang Hotel         0.075676
                                                                     Four Seasons Hotel Shanghai         0.033600
                                                         Courtyard By Marriott Shanghai Xujiahui         0.120000
                                                                            The Shanghai Edition         0.018141
                                   Doubletree By Hilton Shanghai Pudong - Present Welcome Cookie         0.064463
                                                        Holiday Inn Shanghai Vista, An Ihg Hotel         0.115493
                                                                                   Jing An Hotel         0.049032
                                                                         The Land Hotel Shanghai         0.125000
                                                                           Hengshan Garden Hotel         0.087500
                                                                            Ocean Hotel Shanghai         0.086957
                                          The Qube Hotel Shanghai - Pudong International Airport         0.097727
                                                                                   Ifc Residence         0.039234
                                                                 Rayfont Downtown Hotel Shanghai         0.135714
                                                                             Sunrise On The Bund         0.074545
                                                                        Pullman Shanghai Jing An         0.089362
                                                                           Charms Hotel Shanghai         0.177273
                                                     Shanghai Hongkou Sanzhi International Hotel         0.079245
                                  J Hotel, Shanghai Tower - Above All Else, Overlooking The Bund         0.015123
                                                                         The Eton Hotel Shanghai         0.152727
